user_id,item_id,action_time,session_id
937922,357022,2018/2/4 8:28,8107857
937922,73,2018/2/4 8:27,8107857
937922,29583,2018/2/4 8:26,8107857
937922,108763,2018/2/4 8:26,8107857
1369473,331139,2018/2/3 21:55,3712240
1330642,69016,2018/2/1 12:47,1844129
1330642,211690,2018/2/1 12:48,1844129
1330642,322692,2018/2/1 12:48,1844129
1330642,19643,2018/2/1 12:47,1844129
411741,320293,2018/3/10 21:20,4680176
411741,291893,2018/3/10 21:21,4680176
1552476,319649,2018/3/29 6:27,8194740
1552476,110244,2018/3/29 6:22,8194740
1552476,343178,2018/3/29 6:27,8194740
742645,13795,2018/3/19 23:26,10771503
742645,50764,2018/3/19 23:27,10771503
1349460,210131,2018/2/27 14:32,4392084
1455298,208441,2018/4/11 15:21,6190659
1455298,334318,2018/4/11 15:14,6190659
1455298,237755,2018/4/11 15:14,6190659
1455298,6422,2018/4/11 15:22,6190659
1455298,268566,2018/4/11 15:14,6190659
1455298,115915,2018/4/11 15:13,6190659
1455298,208254,2018/4/11 15:22,6190659
1455298,177209,2018/4/14 14:09,6628254
1455298,71793,2018/4/14 14:10,6628254
1455298,141950,2018/4/12 15:37,10207258
1455298,97236,2018/4/12 15:46,8129309
1068082,277346,2018/3/3 23:14,6364387
67623,314054,2018/3/12 17:29,3455782
914860,177884,2018/3/4 14:16,4186146
914860,211134,2018/3/4 14:18,4186146
914860,298918,2018/3/4 14:20,4186146
914860,326156,2018/3/3 15:42,5422447
914860,254818,2018/3/3 15:41,5422447
1068082,128673,2018/4/13 8:40,1449113
931145,243514,2018/3/26 10:36,2341021
931145,321897,2018/3/26 10:41,2341021
931145,19120,2018/3/26 10:37,2341021
931145,229189,2018/3/26 10:30,2341021
931145,168630,2018/3/26 10:38,2341021
931145,287459,2018/3/26 10:32,2341021
931145,53531,2018/3/26 10:31,2341021
931145,199243,2018/3/26 10:35,2341021
931145,255210,2018/3/26 10:30,2341021
1030562,161532,2018/2/18 22:20,290794
48912,241353,2018/3/13 18:05,2408273
48912,198785,2018/3/13 18:04,2408273
48912,283695,2018/3/13 18:04,2408273
48912,330122,2018/3/13 18:01,2408273
48912,223701,2018/3/13 18:04,2408273
843174,201651,2018/4/15 7:25,3077407
188522,245398,2018/2/28 10:13,4115259
102717,272462,2018/3/18 18:54,8017199
102717,92989,2018/3/18 18:55,8017199
102717,167081,2018/3/18 18:59,8017199
1177411,252529,2018/3/24 5:42,6564504
669643,194478,2018/4/8 19:24,7861652
1105549,318390,2018/3/21 14:52,10266611
1105549,253645,2018/3/21 14:53,10266611
1105549,10592,2018/3/21 14:55,10266611
854108,142082,2018/2/27 22:48,8246488
861709,262378,2018/2/11 12:24,10053112
125241,158355,2018/2/26 15:55,4265977
125241,156646,2018/2/26 15:56,4265977
102717,68275,2018/3/1 16:01,3224127
914860,35907,2018/2/25 14:54,10115485
914860,155219,2018/2/25 16:00,6518843
914860,34820,2018/2/25 15:54,6518843
914860,275374,2018/2/25 15:56,6518843
1359480,7737,2018/3/25 13:31,6187812
780789,194477,2018/3/6 6:02,2431464
780789,910,2018/3/6 6:26,2431464
780789,358167,2018/3/6 5:58,2431464
780789,19643,2018/3/6 5:59,2431464
1164554,28660,2018/2/1 20:51,11253914
742645,33865,2018/3/20 21:06,7902443
742645,248059,2018/3/21 8:09,8880819
914860,245991,2018/3/1 14:56,4800040
914860,48661,2018/3/1 14:57,4800040
1359480,129456,2018/3/18 8:06,9296468
1359480,133804,2018/4/7 10:01,3976607
1359480,86536,2018/4/7 10:02,3976607
931145,92067,2018/4/5 8:52,5711637
931145,34516,2018/4/5 8:47,5711637
931145,2890,2018/4/5 8:43,5711637
931145,313787,2018/4/5 8:51,5711637
931145,281189,2018/4/5 8:52,5711637
843174,236680,2018/3/23 1:53,9598328
1177411,86758,2018/3/3 16:06,8652446
1177411,221085,2018/2/18 7:58,4312641
1177411,191329,2018/2/18 7:55,4312641
1177411,280994,2018/2/18 8:00,4312641
1177411,11435,2018/2/18 8:04,4312641
1177411,233176,2018/2/18 8:06,4312641
1177411,157263,2018/2/18 7:57,4312641
1105549,160369,2018/3/17 14:10,4361756
188522,164058,2018/2/24 20:06,8581424
188522,245398,2018/2/24 20:08,8581424
